LUK 1:1,ἔδοξε,n42001003001,πεπληροφορημένων,"['n42001001001', 'n42001001002', 'n42001001003', 'n42001001004', 'n42001001005', 'n42001001006', 'n42001001007', 'n42001001008', 'n42001001009', 'n42001001010', 'n42001001011', 'n42001002001', 'n42001002002', 'n42001002003', 'n42001002004', 'n42001002005', 'n42001002006', 'n42001002007', 'n42001002008', 'n42001002009', 'n42001002010', 'n42001002011', 'n42001002012']"
LUK 1:19,εἶπεν,n42001019005,ἀποκριθεὶς,['n42001019002']
LUK 1:22,ἐδύνατο,n42001022004,ἐξελθὼν,['n42001022001']
LUK 1:28,εἶπεν,n42001028005,εἰσελθὼν,['n42001028002']
LUK 1:35,εἶπεν,n42001035005,ἀποκριθεὶς,['n42001035002']
LUK 1:39,ἐπορεύθη,n42001039008,Ἀναστᾶσα,"['n42001039001', 'n42001039004', 'n42001039005', 'n42001039006', 'n42001039007']"
LUK 1:60,εἶπεν,n42001060006,ἀποκριθεῖσα,['n42001060002']
LUK 1:63,ἔγραψεν,n42001063004,αἰτήσας,"['n42001063002', 'n42001063003']"
LUK 2:17,ἐγνώρισαν,n42002017003,ἰδόντες,['n42002017001']
LUK 2:38,ἀνθωμολογεῖτο,n42002038006,ἐπιστᾶσα,['n42002038005']
LUK 2:44,ἦλθον,n42002044008,νομίσαντες,"['n42002044001', 'n42002044003', 'n42002044004', 'n42002044005', 'n42002044006', 'n42002044007']"
LUK 2:45,ὑπέστρεψαν,n42002045004,εὑρόντες,"['n42002045002', 'n42002045003']"
LUK 2:48,ἐξεπλάγησαν,n42002048004,ἰδόντες,"['n42002048002', 'n42002048003']"
LUK 2:48,ἐζητοῦμέν,n42002048024,ὀδυνώμενοι,['n42002048023']
LUK 3:1,ἐγένετο,n42003002006,ἡγεμονεύοντος/τετρααρχοῦντος/τετρααρχοῦντος/τετρααρχοῦντος,"['n42003001009', 'n42003001010', 'n42003001011', 'n42003001012', 'n42003001013', 'n42003001014', 'n42003001015', 'n42003001016', 'n42003001017', 'n42003001018', 'n42003001020', 'n42003001019', 'n42003001021', 'n42003001022', 'n42003001023', 'n42003001024', 'n42003001025', 'n42003001026', 'n42003001027', 'n42003001028', 'n42003001029', 'n42003001030', 'n42003001031', 'n42003001032', 'n42003001033', 'n42003001034']"
LUK 3:11,ἔλεγεν,n42003011003,ἀποκριθεὶς,['n42003011001']
LUK 3:18,εὐηγγελίζετο,n42003018007,παρακαλῶν,"['n42003018001', 'n42003018004', 'n42003018005', 'n42003018006']"
LUK 3:19,προσέθηκεν,n42003020001,ἐλεγχόμενος,"['n42003019006', 'n42003019007', 'n42003019008', 'n42003019009', 'n42003019010', 'n42003019011', 'n42003019012', 'n42003019013', 'n42003019014', 'n42003019015', 'n42003019016', 'n42003019017', 'n42003019018', 'n42003019019', 'n42003019021', 'n42003019020', 'n42003019022', 'n42003019023']"
LUK 4:5,ἔδειξεν,n42004005004,ἀναγαγὼν,"['n42004005002', 'n42004005003']"
LUK 4:8,εἶπεν,n42004008005,ἀποκριθεὶς,['n42004008002']
LUK 4:12,εἶπεν,n42004012003,ἀποκριθεὶς,['n42004012002']
LUK 4:13,ἀπέστη,n42004013007,συντελέσας,"['n42004013002', 'n42004013003', 'n42004013004']"
LUK 4:17,εὗρεν,n42004017012,ἀναπτύξας,"['n42004017009', 'n42004017010', 'n42004017011']"
LUK 4:20,ἐκάθισεν,n42004020008,ἀποδοὺς,"['n42004020005', 'n42004020006', 'n42004020007']"
LUK 4:20,ἐκάθισεν,n42004020008,πτύξας,"['n42004020002', 'n42004020003', 'n42004020004']"
LUK 4:29,ἐξέβαλον,n42004029003,ἀναστάντες,['n42004029002']
LUK 4:30,ἐπορεύετο,n42004030007,διελθὼν,"['n42004030003', 'n42004030004', 'n42004030005', 'n42004030006']"
LUK 4:35,ἐξῆλθεν,n42004035020,ῥίψαν,"['n42004035013', 'n42004035014', 'n42004035017', 'n42004035018', 'n42004035019']"
LUK 4:38,εἰσῆλθεν,n42004038006,Ἀναστὰς,"['n42004038001', 'n42004038003', 'n42004038004', 'n42004038005']"
LUK 4:39,ἐπετίμησεν,n42004039005,ἐπιστὰς,"['n42004039002', 'n42004039003', 'n42004039004']"
LUK 4:39,διηκόνει,n42004039014,ἀναστᾶσα,['n42004039013']
LUK 4:40,ἤγαγον,n42004040011,Δύνοντος,"['n42004040001', 'n42004040003', 'n42004040004']"
LUK 4:40,ἐθεράπευεν,n42004040023,ἐπιτιθεὶς,"['n42004040017', 'n42004040018', 'n42004040019', 'n42004040020', 'n42004040021', 'n42004040022']"
LUK 4:41,εἴα,n42004041020,ἐπιτιμῶν,['n42004041018']
LUK 4:42,ἐπορεύθη,n42004042005,ἐξελθὼν,['n42004042004']
LUK 5:2,ἔπλυνον,n42005002015,ἀποβάντες,"['n42005002012', 'n42005002013', 'n42005002014']"
LUK 5:3,ἠρώτησεν,n42005003010,ἐμβὰς,"['n42005003001', 'n42005003003', 'n42005003004', 'n42005003005', 'n42005003006', 'n42005003007', 'n42005003008', 'n42005003009']"
LUK 5:3,ἐδίδασκεν,n42005003022,καθίσας,['n42005003017']
LUK 5:4,εἶπεν,n42005004005,λαλῶν,"['n42005004001', 'n42005004003', 'n42005004004']"
LUK 5:5,εἶπεν,n42005005004,ἀποκριθεὶς,['n42005005002']
LUK 5:5,ἐλάβομεν,n42005005011,κοπιάσαντες,"['n42005005006', 'n42005005007', 'n42005005008', 'n42005005009']"
LUK 5:6,συνέκλεισαν,n42005006004,ποιήσαντες,"['n42005006002', 'n42005006003']"
LUK 5:7,συλλαβέσθαι,n42005007011,ἐλθόντας,['n42005007010']
LUK 5:8,προσέπεσεν,n42005008005,ἰδὼν,['n42005008001']
LUK 5:11,ἠκολούθησαν,n42005011010,ἀφέντες,"['n42005011008', 'n42005011009']"
LUK 5:11,ἠκολούθησαν,n42005011010,καταγαγόντες,"['n42005011002', 'n42005011003', 'n42005011004', 'n42005011005', 'n42005011006', 'n42005011007']"
LUK 5:12,ἐδεήθη,n42005012023,πεσὼν,"['n42005012020', 'n42005012021', 'n42005012022']"
LUK 5:12,ἐδεήθη,n42005012023,ἰδὼν,"['n42005012017', 'n42005012018', 'n42005012019']"
LUK 5:13,ἥψατο,n42005013005,ἐκτείνας,"['n42005013002', 'n42005013003', 'n42005013004']"
LUK 5:14,δεῖξον,n42005014009,ἀπελθὼν,['n42005014008']
LUK 5:19,καθῆκαν,n42005019017,ἀναβάντες,"['n42005019010', 'n42005019011', 'n42005019012', 'n42005019013']"
LUK 5:19,καθῆκαν,n42005019017,εὑρόντες,"['n42005019002', 'n42005019003', 'n42005019004', 'n42005019005', 'n42005019006', 'n42005019007', 'n42005019008', 'n42005019009']"
LUK 5:20,εἶπεν,n42005020006,ἰδὼν,"['n42005020002', 'n42005020003', 'n42005020004', 'n42005020005']"
LUK 5:22,εἶπεν,n42005022009,ἀποκριθεὶς,['n42005022008']
LUK 5:22,εἶπεν,n42005022009,ἐπιγνοὺς,"['n42005022001', 'n42005022005', 'n42005022006', 'n42005022007']"
LUK 5:24,πορεύου,n42005024027,ἄρας,"['n42005024023', 'n42005024024', 'n42005024025', 'n42005024026']"
LUK 5:25,ἀπῆλθεν,n42005025010,ἄρας,"['n42005025006', 'n42005025007', 'n42005025008', 'n42005025009']"
LUK 5:25,ἀπῆλθεν,n42005025010,ἀναστὰς,"['n42005025003', 'n42005025004', 'n42005025005']"
LUK 5:28,ἠκολούθει,n42005028005,ἀναστὰς,['n42005028004']
LUK 5:28,ἠκολούθει,n42005028005,καταλιπὼν,"['n42005028002', 'n42005028003']"
LUK 5:31,εἶπεν,n42005031005,ἀποκριθεὶς,['n42005031002']
LUK 5:36,ἐπιβάλλει,n42005036014,σχίσας,"['n42005036009', 'n42005036010', 'n42005036011', 'n42005036012', 'n42005036013']"
LUK 5:39,θέλει,n42005039005,πιὼν,"['n42005039003', 'n42005039004']"
LUK 6:3,εἶπεν,n42006003005,ἀποκριθεὶς,['n42006003002']
LUK 6:4,ἔφαγεν,n42006004014,λαβὼν,"['n42006004009', 'n42006004010', 'n42006004011', 'n42006004012', 'n42006004013']"
LUK 6:8,ἔστη,n42006008024,ἀναστὰς,['n42006008023']
LUK 6:10,εἶπεν,n42006010005,περιβλεψάμενος,"['n42006010002', 'n42006010003', 'n42006010004']"
LUK 6:17,ἔστη,n42006017005,καταβὰς,"['n42006017002', 'n42006017003', 'n42006017004']"
LUK 6:20,ἔλεγεν,n42006020011,ἐπάρας,"['n42006020003', 'n42006020004', 'n42006020005', 'n42006020006', 'n42006020007', 'n42006020008', 'n42006020009', 'n42006020010']"
LUK 7:2,ἤμελλεν,n42007002007,ἔχων,"['n42007002005', 'n42007002006']"
LUK 7:3,ἀπέστειλεν,n42007003006,ἀκούσας,"['n42007003001', 'n42007003003', 'n42007003004', 'n42007003005']"
LUK 7:3,διασώσῃ,n42007003016,ἐλθὼν,['n42007003015']
LUK 7:4,παρεκάλουν,n42007004007,παραγενόμενοι,"['n42007004003', 'n42007004004', 'n42007004005', 'n42007004006']"
LUK 7:9,ἐθαύμασεν,n42007009006,ἀκούσας,"['n42007009001', 'n42007009003']"
LUK 7:9,εἶπεν,n42007009014,στραφεὶς,['n42007009009']
LUK 7:10,εὗρον,n42007010008,ὑποστρέψαντες,"['n42007010002', 'n42007010003', 'n42007010004', 'n42007010005']"
LUK 7:13,ἐσπλαγχνίσθη,n42007013006,ἰδὼν,"['n42007013002', 'n42007013003']"
LUK 7:14,ἥψατο,n42007014003,προσελθὼν,['n42007014002']
LUK 7:18,ἔπεμψεν,n42007019001,προσκαλεσάμενος,"['n42007018011', 'n42007018012', 'n42007018013', 'n42007018014', 'n42007018015', 'n42007018016']"
LUK 7:20,εἶπαν,n42007020007,παραγενόμενοι,"['n42007020001', 'n42007020003', 'n42007020004']"
LUK 7:22,εἶπεν,n42007022003,ἀποκριθεὶς,['n42007022002']
LUK 7:22,ἀπαγγείλατε,n42007022006,Πορευθέντες,['n42007022005']
LUK 7:24,ἤρξατο,n42007024006,Ἀπελθόντων,"['n42007024001', 'n42007024003', 'n42007024004', 'n42007024005']"
LUK 7:29,ἐδικαίωσαν,n42007029009,ἀκούσας,['n42007029005']
LUK 7:36,κατεκλίθη,n42007036018,εἰσελθὼν,"['n42007036012', 'n42007036013', 'n42007036014', 'n42007036015', 'n42007036016', 'n42007036017']"
LUK 7:37,ἤρξατο,n42007038011,κομίσασα/στᾶσα/κλαίουσα,"['n42007037019', 'n42007037020', 'n42007037021', 'n42007038001', 'n42007038002', 'n42007038003', 'n42007038004', 'n42007038005', 'n42007038006', 'n42007038007', 'n42007038008']"
LUK 7:37,ἤρξατο,n42007038011,ἐπιγνοῦσα,"['n42007037011', 'n42007037012', 'n42007037013', 'n42007037014', 'n42007037015', 'n42007037016', 'n42007037017', 'n42007037018']"
LUK 7:39,εἶπεν,n42007039008,ἰδὼν,['n42007039001']
LUK 7:40,εἶπεν,n42007040005,ἀποκριθεὶς,['n42007040002']
LUK 7:43,εἶπεν,n42007043003,ἀποκριθεὶς,['n42007043001']
LUK 7:44,ἔφη,n42007044008,στραφεὶς,"['n42007044002', 'n42007044003', 'n42007044004', 'n42007044005']"
LUK 8:6,ἐξηράνθη,n42008006009,φυὲν,['n42008006008']
LUK 8:7,ἀπέπνιξαν,n42008007012,συμφυεῖσαι,['n42008007009']
LUK 8:8,ἐποίησεν,n42008008011,φυὲν,['n42008008010']
LUK 8:8,ἐφώνει,n42008008016,λέγων,"['n42008008014', 'n42008008015']"
LUK 8:10,βλέπωσιν,n42008010021,βλέποντες,['n42008010019']
LUK 8:10,συνιῶσιν,n42008010025,ἀκούοντες,['n42008010023']
LUK 8:12,σωθῶσιν,n42008012024,πιστεύσαντες,['n42008012023']
LUK 8:14,συμπνίγονται,n42008014021,πορευόμενοι,['n42008014020']
LUK 8:15,κατέχουσιν,n42008015018,ἀκούσαντες,"['n42008015010', 'n42008015011', 'n42008015012', 'n42008015013', 'n42008015014', 'n42008015015', 'n42008015016', 'n42008015017']"
LUK 8:16,καλύπτει,n42008016005,ἅψας,"['n42008016003', 'n42008016004']"
LUK 8:21,εἶπεν,n42008021004,ἀποκριθεὶς,['n42008021003']
LUK 8:24,διήγειραν,n42008024003,προσελθόντες,['n42008024001']
LUK 8:24,ἐπετίμησεν,n42008024012,διεγερθεὶς,['n42008024011']
LUK 8:25,ἐθαύμασαν,n42008025010,φοβηθέντες,['n42008025008']
LUK 8:27,ὑπήντησεν,n42008027007,ἐξελθόντι,"['n42008027001', 'n42008027004', 'n42008027005', 'n42008027006']"
LUK 8:28,προσέπεσεν,n42008028006,ἀνακράξας,['n42008028005']
LUK 8:28,προσέπεσεν,n42008028006,ἰδὼν,"['n42008028001', 'n42008028003', 'n42008028004']"
LUK 8:29,ἠλαύνετο,n42008029026,διαρρήσσων,"['n42008029023', 'n42008029024', 'n42008029025']"
LUK 8:33,εἰσῆλθον,n42008033008,ἐξελθόντα,"['n42008033001', 'n42008033005', 'n42008033006', 'n42008033007']"
LUK 8:34,ἔφυγον,n42008034007,Ἰδόντες,"['n42008034001', 'n42008034005', 'n42008034006']"
LUK 8:37,ὑπέστρεψεν,n42008037023,ἐμβὰς,"['n42008037020', 'n42008037021', 'n42008037022']"
LUK 8:41,παρεκάλει,n42008041021,πεσὼν,"['n42008041015', 'n42008041016', 'n42008041017', 'n42008041018', 'n42008041019', 'n42008041020']"
LUK 8:43,ἴσχυσεν,n42008043017,προσαναλώσασα,"['n42008043011', 'n42008043012', 'n42008043013', 'n42008043014', 'n42008043015']"
LUK 8:44,ἥψατο,n42008044003,προσελθοῦσα,"['n42008044001', 'n42008044002']"
LUK 8:45,εἶπεν,n42008045012,ἀρνουμένων,"['n42008045009', 'n42008045011']"
LUK 8:47,ἦλθεν,n42008047009,τρέμουσα,['n42008047008']
LUK 8:47,ἦλθεν,n42008047009,ἰδοῦσα,"['n42008047001', 'n42008047005', 'n42008047006', 'n42008047007']"
LUK 8:47,ἀπήγγειλεν,n42008047018,προσπεσοῦσα,"['n42008047011', 'n42008047012']"
LUK 8:49,ἔρχεταί,n42008049004,λαλοῦντος,"['n42008049001', 'n42008049002', 'n42008049003']"
LUK 8:50,ἀπεκρίθη,n42008050005,ἀκούσας,['n42008050004']
LUK 8:51,ἀφῆκεν,n42008051007,ἐλθὼν,"['n42008051001', 'n42008051003', 'n42008051004', 'n42008051005']"
LUK 8:54,ἐφώνησεν,n42008054007,κρατήσας,"['n42008054003', 'n42008054004', 'n42008054005', 'n42008054006']"
LUK 9:1,ἔδωκεν,n42009001005,Συγκαλεσάμενος,"['n42009001001', 'n42009001003', 'n42009001004']"
LUK 9:5,ἀποτινάσσετε,n42009005018,ἐξερχόμενοι,"['n42009005007', 'n42009005008', 'n42009005009', 'n42009005010', 'n42009005011']"
LUK 9:6,διήρχοντο,n42009006003,ἐξερχόμενοι,['n42009006001']
LUK 9:10,διηγήσαντο,n42009010005,ὑποστρέψαντες,['n42009010002']
LUK 9:10,ὑπεχώρησεν,n42009010012,παραλαβὼν,"['n42009010010', 'n42009010011']"
LUK 9:11,ἠκολούθησαν,n42009011005,γνόντες,['n42009011004']
LUK 9:11,ἐλάλει,n42009011010,ἀποδεξάμενος,"['n42009011008', 'n42009011009']"
LUK 9:12,εἶπαν,n42009012010,προσελθόντες,['n42009012006']
LUK 9:12,καταλύσωσιν,n42009012023,πορευθέντες,"['n42009012016', 'n42009012017', 'n42009012018', 'n42009012019', 'n42009012020', 'n42009012021', 'n42009012022']"
LUK 9:13,ἀγοράσωμεν,n42009013026,πορευθέντες,['n42009013024']
LUK 9:16,εὐλόγησεν,n42009016014,ἀναβλέψας,"['n42009016010', 'n42009016011', 'n42009016012', 'n42009016013']"
LUK 9:16,εὐλόγησεν,n42009016014,λαβὼν,"['n42009016001', 'n42009016003', 'n42009016004', 'n42009016005', 'n42009016006', 'n42009016007', 'n42009016008', 'n42009016009']"
LUK 9:19,εἶπαν,n42009019004,ἀποκριθέντες,['n42009019003']
LUK 9:20,εἶπεν,n42009020013,ἀποκριθεὶς,['n42009020012']
LUK 9:21,παρήγγειλεν,n42009021005,ἐπιτιμήσας,"['n42009021003', 'n42009021004']"
LUK 9:28,ἀνέβη,n42009028017,παραλαβὼν,"['n42009028011', 'n42009028012', 'n42009028013', 'n42009028014', 'n42009028015', 'n42009028016']"
LUK 9:31,ἔλεγον,n42009031005,ὀφθέντες,"['n42009031002', 'n42009031003', 'n42009031004']"
LUK 9:32,εἶδον,n42009032013,διαγρηγορήσαντες,['n42009032011']
LUK 9:41,εἶπεν,n42009041005,ἀποκριθεὶς,['n42009041001']
LUK 9:43,εἶπεν,n42009043016,θαυμαζόντων,"['n42009043009', 'n42009043011', 'n42009043012', 'n42009043013', 'n42009043014', 'n42009043015']"
LUK 9:47,ἔστησεν,n42009047012,ἐπιλαβόμενος,"['n42009047010', 'n42009047011']"
LUK 9:47,ἔστησεν,n42009047012,εἰδὼς,"['n42009047004', 'n42009047005', 'n42009047006', 'n42009047007', 'n42009047008', 'n42009047009']"
LUK 9:49,εἶπεν,n42009049004,Ἀποκριθεὶς,['n42009049001']
LUK 9:52,εἰσῆλθον,n42009052009,πορευθέντες,['n42009052008']
LUK 9:54,εἶπαν,n42009054008,ἰδόντες,['n42009054001']
LUK 9:55,ἐπετίμησεν,n42009055003,στραφεὶς,['n42009055001']
LUK 9:59,θάψαι,n42009059015,ἀπελθόντι,"['n42009059013', 'n42009059014']"
LUK 9:60,διάγγελλε,n42009060014,ἀπελθὼν,['n42009060013']
LUK 10:10,εἴπατε,n42010010016,ἐξελθόντες,"['n42010010011', 'n42010010012', 'n42010010013', 'n42010010014', 'n42010010015']"
LUK 10:13,μετενόησαν,n42010013027,καθήμενοι,"['n42010013022', 'n42010013023', 'n42010013024', 'n42010013025', 'n42010013026']"
LUK 10:23,εἶπεν,n42010023008,στραφεὶς,"['n42010023002', 'n42010023003', 'n42010023004', 'n42010023005']"
LUK 10:25,κληρονομήσω,n42010025014,ποιήσας,"['n42010025010', 'n42010025011']"
LUK 10:27,εἶπεν,n42010027004,ἀποκριθεὶς,['n42010027003']
LUK 10:29,εἶπεν,n42010029006,θέλων,"['n42010029003', 'n42010029004', 'n42010029005']"
LUK 10:30,εἶπεν,n42010030005,ὑπολαβὼν,['n42010030001']
LUK 10:30,ἀπῆλθον,n42010030023,ἐκδύσαντες/ἐπιθέντες,"['n42010030018', 'n42010030019', 'n42010030020', 'n42010030021', 'n42010030022']"
LUK 10:31,ἀντιπαρῆλθεν,n42010031014,ἰδὼν,"['n42010031012', 'n42010031013']"
LUK 10:32,ἀντιπαρῆλθεν,n42010032011,ἐλθὼν/ἰδὼν,"['n42010032005', 'n42010032006', 'n42010032007', 'n42010032008', 'n42010032009', 'n42010032010']"
LUK 10:33,ἦλθεν,n42010033005,ὁδεύων,['n42010033004']
LUK 10:33,ἐσπλαγχνίσθη,n42010033010,ἰδὼν,['n42010033009']
LUK 10:34,κατέδησεν,n42010034003,προσελθὼν,['n42010034002']
LUK 10:34,ἤγαγεν,n42010034018,ἐπιβιβάσας,"['n42010034011', 'n42010034013', 'n42010034014', 'n42010034015', 'n42010034016', 'n42010034017']"
LUK 10:35,ἔδωκεν,n42010035008,ἐκβαλὼν,"['n42010035005', 'n42010035006', 'n42010035007']"
LUK 10:39,ἤκουεν,n42010039015,παρακαθεσθεῖσα,"['n42010039009', 'n42010039010', 'n42010039011', 'n42010039012', 'n42010039013', 'n42010039014']"
LUK 10:40,εἶπεν,n42010040010,ἐπιστᾶσα,['n42010040008']
LUK 10:41,εἶπεν,n42010041003,ἀποκριθεὶς,['n42010041001']
LUK 11:7,εἴπῃ,n42011007004,ἀποκριθεὶς,['n42011007003']
LUK 11:7,δοῦναί,n42011007026,ἀναστὰς,['n42011007025']
LUK 11:8,δώσει,n42011008020,ἐγερθεὶς,['n42011008019']
LUK 11:13,οἴδατε,n42011013006,ὑπάρχοντες,"['n42011013004', 'n42011013005']"
LUK 11:13,δώσει,n42011013020,ὑπάρχοντες,"['n42011013001', 'n42011013003', 'n42011013004', 'n42011013005', 'n42011013006', 'n42011013007', 'n42011013008', 'n42011013009', 'n42011013010', 'n42011013011', 'n42011013012']"
LUK 11:16,ἐζήτουν,n42011016007,πειράζοντες,['n42011016003']
LUK 11:17,εἶπεν,n42011017007,εἰδὼς,"['n42011017003', 'n42011017004', 'n42011017005', 'n42011017006']"
LUK 11:21,φυλάσσῃ,n42011021005,καθωπλισμένος,['n42011021004']
LUK 11:22,νικήσῃ,n42011022006,ἐπελθὼν,['n42011022005']
LUK 11:24,λέγει,n42011024018,εὑρίσκον,"['n42011024016', 'n42011024017']"
LUK 11:25,εὑρίσκει,n42011025003,ἐλθὸν,['n42011025002']
LUK 11:26,κατοικεῖ,n42011026012,εἰσελθόντα,['n42011026011']
LUK 11:27,εἶπεν,n42011027015,ἐπάρασά,"['n42011027008', 'n42011027010']"
LUK 11:33,τίθησιν,n42011033006,ἅψας,"['n42011033002', 'n42011033003']"
LUK 11:37,ἀνέπεσεν,n42011037014,εἰσελθὼν,['n42011037012']
LUK 11:38,ἐθαύμασεν,n42011038005,ἰδὼν,['n42011038004']
LUK 11:45,λέγει,n42011045006,Ἀποκριθεὶς,['n42011045001']
LUK 11:45,ὑβρίζεις,n42011045013,λέγων,"['n42011045009', 'n42011045010']"
LUK 12:1,ἤρξατο,n42012001011,ἐπισυναχθεισῶν,"['n42012001001', 'n42012001002', 'n42012001003', 'n42012001004', 'n42012001005', 'n42012001006', 'n42012001007', 'n42012001008', 'n42012001009', 'n42012001010']"
LUK 12:25,δύναται,n42012025006,μεριμνῶν,['n42012025005']
LUK 12:28,ἀμφιέζει,n42012028017,ὄντα/βαλλόμενον,"['n42012028007', 'n42012028008', 'n42012028009', 'n42012028010', 'n42012028011', 'n42012028012', 'n42012028013']"
LUK 12:37,εὑρήσει,n42012037009,ἐλθὼν,['n42012037006']
LUK 12:37,διακονήσει,n42012037021,παρελθὼν,['n42012037020']
LUK 12:43,εὑρήσει,n42012043010,ἐλθὼν,['n42012043006']
