noun,occurrences,εἰς_count,ἐκ_count,ἐν_count,διά_count
οὐρανός,149,24,56,69,
Χριστός,115,16,1,84,14
θεός,74,12,33,19,10
Ἰησοῦς,69,6,1,50,12
κύριος,60,1,,57,2
πίστις,58,2,25,14,17
κόσμος,54,20,13,21,
πνεῦμα,54,2,5,39,8
Ἱεροσόλυμα,50,36,2,12,
Ἰερουσαλήμ,43,29,1,13,
γῆ,42,23,11,7,1
νόμος,39,1,14,14,10
ἡμέρα,39,6,1,28,4
αἰών,39,38,1,,
πόλις,38,26,3,9,
ἄνθρωπος,36,9,13,9,5
πλοῖον,35,20,4,11,
φυλακή,30,12,1,17,
θάλασσα,29,16,2,10,1
ἔθνος,29,12,6,11,
οἰκία,29,16,1,12,
σάρξ,29,4,3,21,1
ὁδός,29,9,1,18,1
συναγωγή,28,9,1,18,
ζωή,27,22,1,3,1
Γαλιλαία,26,16,4,5,1
θάνατος,25,10,6,6,3
ἔργον,24,2,16,5,1
τόπος,24,11,,11,2
λόγος,22,2,,14,6
ἀγάπη,21,,1,17,3
μνημεῖον,20,10,6,4,
ἀλήθεια,20,3,3,14,
χείρ,20,9,5,1,5
δικαιοσύνη,19,9,,6,4
ὄρος,19,14,2,3,
δόξα,18,7,,9,2
ὕδωρ,18,3,5,7,3
Αἴγυπτος,17,7,5,5,
πῦρ,17,7,2,6,2
δύναμις,17,,2,15,
σῶμα,17,1,5,10,1
οἶκος,16,9,1,6,
ὄχλος,16,1,6,5,4
ὄνομα,16,3,,13,
φυλή,15,1,14,,
ἐκκλησία,15,1,1,12,1
κρίσις,15,6,,9,
παραβολή,14,,,13,1
Καφαρναούμ,14,12,,2,
σάββατον,14,1,,12,1
Ἀντιόχεια,14,10,,4,
πατήρ,14,2,5,5,2
σωτηρία,14,13,,1,
Δαμασκός,13,7,,6,
ἀγρός,13,5,2,6,
προφήτης,13,2,,4,7
στόμα,13,3,4,1,5
Ἰουδαία,13,4,2,7,
εἰρήνη,13,5,,8,
καρδία,12,1,7,4,
ναός,12,3,4,5,
ἑορτή,12,6,,6,
Ἔφεσος,12,6,,6,
Καισάρεια,11,10,,1,
ἐπίγνωσις,11,5,,6,
μαρτύριον,11,11,,,
ἀνάστασις,11,2,3,5,1
φῶς,11,4,,7,
αἷμα,11,2,1,7,1
ἀγορά,10,1,,9,
λαός,10,2,2,5,1
σκοτία,10,,,10,
Μακεδονία,10,8,,1,1
Ἰσραήλ,10,2,2,6,
περιτομή,10,2,6,2,
θέλημα,10,,2,1,7
καιρός,10,,,10,
ἐξουσία,10,,,10,
εὐαγγέλιον,10,2,1,4,3
πειρασμός,9,6,1,2,
νεφέλη,9,1,3,5,
σοφία,9,,,8,1
ἐπιστολή,9,,,3,6
γαστήρ,8,,,8,
πρόσωπον,8,4,1,3,
νύξ,8,,,3,5
τάχος,8,,,8,
συνέδριον,8,4,,4,
κοιλία,8,2,5,1,
ἀνήρ,8,2,3,2,1
φόβος,8,1,,7,
ὑπομονή,8,,,5,3
κώμη,8,8,,,
γυνή,8,,2,4,2
χάρις,7,,,6,1
θλῖψις,7,2,,4,1
γάμος,7,6,1,,
μέρος,7,1,5,1,
σκότος,7,1,2,4,
φωνή,7,,,7,
Δαυίδ,7,,4,2,1
ἁμαρτία,7,4,,1,2
Ἰόππη,7,4,,3,
ἄκανθα,7,4,3,,
διακονία,7,6,,1,
Φαρισαῖος,7,,6,,1
Ἀσία,7,2,,5,
ἀσθένεια,7,,1,5,1
Μωϋσῆς,6,2,1,1,2
Κόρινθος,6,2,,4,
Ῥώμη,6,3,,3,
ἀκροβυστία,6,,,5,1
μετάνοια,6,6,,,
τέλος,6,6,,,
ἄγγελος,6,2,,,4
ἀδελφός,6,3,,3,
πόλεμος,6,5,,1,
ἄφεσις,6,4,,2,
Βηθανία,6,3,,3,
ἀσκός,6,6,,,
προσευχή,6,2,,4,
παρεμβολή,6,6,,,
ἀρχή,6,,2,4,
γέεννα,6,5,,1,
γωνία,6,5,,1,
αἰτία,6,,,,6
Λαοδίκεια,6,1,1,4,
ἀπώλεια,6,6,,,
συνείδησις,6,,,2,4
υἱός,6,4,,2,
Λύστρα,5,2,,3,
ἔτος,5,1,2,,2
ἁγιασμός,5,2,,3,
μέτρον,5,1,1,3,
ἐπιθυμία,5,1,,4,
κεφαλή,5,5,,,
ἄβυσσος,5,3,2,,
γραφή,5,,,4,1
Ἠσαΐας,5,,,,5
δεῖπνον,5,,1,4,
βίβλος,5,,,5,
ψυχή,5,2,2,1,
παρρησία,5,,,5,
πραιτώριον,5,5,,,
ἀποκάλυψις,5,1,,3,1
μάχαιρα,5,,,5,
φίλημα,5,,,5,
Τρῳάς,5,3,,2,
κρίμα,5,4,,1,
ἐσθής,5,,,5,
ἀτιμία,4,3,,1,
περιποίησις,4,4,,,
τιμή,4,3,,1,
ὅραμα,4,,,3,1
ὀργή,4,3,,,1
γαζοφυλάκιον,4,3,,1,
Βηθλέεμ,4,1,,3,
ἔπαινος,4,4,,,
Θεσσαλονίκη,4,2,,2,
Ἰκόνιον,4,2,,2,
κόπος,4,,,4,
Βεελζεβούλ,4,,,4,
ὑπακοή,4,4,,,
μνῆμα,4,1,,3,
ῥάβδος,4,,,4,
γένος,4,,4,,
πραΰτης,4,,,4,
σπέρμα,4,2,2,,
χώρα,4,2,1,1,
ἐπαγγελία,4,,1,1,2
Ἰούδας,4,1,2,1,
χοῖρος,4,4,,,
ἀνάγκη,4,,2,2,
μεσουράνημα,3,,,3,
ᾅδης,3,2,,1,
ἀσέλγεια,3,1,,2,
ἁπλότης,3,,,3,
μνημόσυνον,3,3,,,
βιβλίον,3,1,,2,
βάτος,3,,1,2,
φάτνη,3,,,3,
Ναζαρέθ,3,2,1,,
ὑπερῷον,3,2,,1,
ἀγαλλίασις,3,,,3,
ὕψος,3,1,2,,
Σάρδεις,3,1,,2,
πλάνη,3,,2,1,
ἀπόστολος,3,1,,1,1
Θυάτειρα,3,1,,2,
πλεονεξία,3,,,3,
οἰκοδομή,3,3,,,
ἐντολή,3,,,,3
θυσιαστήριον,3,,1,2,
ὑπάντησις,3,3,,,
Ταρσός,3,2,,1,
ὁμοίωμα,3,,,3,
Τύρος,3,1,,2,
φθόνος,3,,,,3
βόθυνος,3,3,,,
χαρά,3,1,,1,1
παράπτωμα,3,,1,1,1
Φίλιπποι,3,1,,2,
Βηθφαγή,3,3,,,
γνῶσις,3,,,3,
εὐχαριστία,3,,,2,1
κῆπος,3,1,,2,
νεότης,3,,3,,
Ἰεριχώ,3,3,,,
ἀπολύτρωσις,3,3,,,
ὀφθαλμός,3,,,3,
ἱμάτιον,3,,,3,
Ἀθῆναι,3,,1,2,
ἀκοή,3,,3,,
ἀμπελών,3,2,,1,
Συρία,3,3,,,
χρόνος,3,,1,1,1
ἀήρ,3,3,,,
πληγή,3,,,3,
νῆσος,3,1,,2,
Σιών,3,,1,2,
Ἀραβία,2,1,,1,
λίμνη,2,2,,,
σάκκος,2,,,2,
πάσχα,2,,,2,
Ἰουδαϊσμός,2,,,2,
ἀποθήκη,2,2,,,
ὥρα,2,,,2,
πούς,2,2,,,
πάθημα,2,,,1,1
Σιδών,2,1,,,1
Ἰερεμίας,2,,,,2
ἔκστασις,2,,,2,
Κύπρος,2,2,,,
ψῦχος,2,,,1,1
πρύμνα,2,,1,1,
ἄλευρον,2,2,,,
παιδίσκη,2,,2,,
ὑπόμνησις,2,,,2,
ταμεῖον,2,,,2,
Πέργη,2,1,,1,
ἄρχων,2,,2,,
γενεά,2,1,1,,
δῆμος,2,2,,,
Βέροια,2,1,,1,
νηστεία,2,,,2,
Δέρβη,2,2,,,
Ἰταλία,2,2,,,
Ἀχαΐα,2,1,,1,
Ἡρῳδιάς,2,,,,2
θέατρον,2,2,,,
κλίβανος,2,2,,,
αὐλή,2,,,2,
Μίλητος,2,1,,1,
Γεννησαρέτ,2,2,,,
πέτρα,2,,1,1,
χωρίον,2,2,,,
ἀπάντησις,2,2,,,
τρύβλιον,2,1,,1,
Βενιαμίν,2,,2,,
αἰγιαλός,2,2,,,
φιλαδελφία,2,1,,1,
ἀφεδρών,2,2,,,
ἐρημία,2,,,2,
κιβωτός,2,2,,,
λύκος,2,,,2,
Σαμαρίτης,2,2,,,
βρῶσις,2,1,,1,
Σιλωάμ,2,1,,1,
σημεῖον,2,2,,,
κατάκριμα,2,2,,,
δικαίωμα,2,1,,,1
τεῖχος,2,,,,2
ἀπιστία,2,,,1,1
παραπικρασμός,2,,,2,
Ἰσαάκ,2,,,2,
μακροθυμία,2,,,2,
ἀγρυπνία,2,,,2,
ῥῆμα,2,,,1,1
Ἠλίας,2,,,2,
νῖκος,2,2,,,
ἀφθαρσία,2,,,2,
φθορά,2,1,,1,
ἀπείθεια,2,1,,,1
διδασκαλία,2,,,2,
καθαίρεσις,2,2,,,
Ἀσήρ,2,,2,,
γράμμα,2,,,1,1
ἥλιος,2,,,2,
λιμός,2,,,2,
ἀναστροφή,2,,,2,
ἁγνεία,2,,,2,
ἀνατολή,2,,,2,
παροιμία,2,,,2,
δόλος,2,,,2,
εὐδοκία,2,,,1,1
θρόνος,2,,2,,
ἐριθεία,2,,2,,
μορφή,2,,,2,
λύπη,2,,1,1,
ἀκαθαρσία,2,1,1,,
πάθος,2,1,,1,
ἀφροσύνη,2,,,2,
ἡσυχία,2,,,2,
πλάξ,2,,,2,
γλῶσσα,2,,,1,1
φρέαρ,2,1,1,,
Κανά,2,,,2,
Χαρράν,2,,,2,
ἄρτος,2,,2,,
Φιλαδέλφεια,2,1,,1,
Συχέμ,2,1,,1,
αἰχμαλωσία,2,2,,,
ἐλπίς,2,1,,1,
πορνεία,2,,1,,1
ζύμη,2,,,2,
ὄλεθρος,2,2,,,
πανουργία,2,,,2,
Πέργαμος,2,1,,1,
ῥύσις,2,,,2,
ἀρχιερεύς,2,,1,,1
Σμύρνα,2,1,,1,
οἰκονομία,2,1,1,,
δεσμωτήριον,2,1,,1,
θύρα,2,,,,2
πρᾶγμα,2,,,2,
διδαχή,2,,,2,
Σαμάρεια,2,,1,,1
προφητεία,2,,,1,1
Σπανία,2,2,,,
παράδεισος,2,1,,1,
στολή,2,,,2,
Κεγχρεαί,2,,,2,
στάσις,2,,,1,1
ἔσοπτρον,2,,,1,1
ψαλμός,2,,,2,
καρπός,2,,2,,
τήρησις,2,1,,1,
ὑποταγή,2,,,2,
οὖς,1,1,,,
κάμινος,1,,,1,
κλίνη,1,1,,,
ῥομφαία,1,,,1,
Σόδομα,1,,,1,
Θαμάρ,1,,1,,
σπήλαιον,1,1,,,
δένδρον,1,1,,,
Ῥαχάβ,1,,1,,
Ῥούθ,1,,1,,
θεραπεία,1,1,,,
μαργαρίτης,1,,1,,
θεῖον,1,,,1,
πόνος,1,,1,,
ληνός,1,,1,,
θηρίον,1,,1,,
Ῥαμά,1,,,1,
ὅριον,1,,,1,
σεισμός,1,,,1,
ῥύμη,1,,,1,
ὅρασις,1,,,1,
καπνός,1,,1,,
ἔνδυμα,1,,,1,
ἄψινθος,1,1,,,
Ἰωσήφ,1,,1,,
Ζαβουλών,1,,1,,
δέσμη,1,1,,,
Λευί,1,,1,,
Συμεών,1,,1,,
Μανασσῆς,1,,1,,
Νεφθαλίμ,1,,1,,
Γάδ,1,,1,,
Ῥουβήν,1,,1,,
Ἰσσαχάρ,1,,1,,
βελόνη,1,,,,1
ἄγγος,1,1,,,
ἐπισκοπή,1,,,1,
πρόφασις,1,,,1,
κολακεία,1,,,1,
ἀγών,1,,,1,
διωγμός,1,,,1,
ὕβρις,1,,,1,
σαργάνη,1,,,1,
ψευδάδελφος,1,,,1,
βυθός,1,,,1,
κανών,1,,,1,
περισσεία,1,1,,,
ἰσότης,1,,1,,
δυσφημία,1,,,,1
χρηστότης,1,,,1,
ἁγνότης,1,,,1,
ἀκαταστασία,1,,,1,
στενοχωρία,1,,,1,
εἶδος,1,,,,1
σκῆνος,1,,,1,
σκεῦος,1,,,1,
εἰλικρίνεια,1,,1,,
Σιλουανός,1,,,,1
ἀγαθοποιΐα,1,,,1,
ἰσχύς,1,,1,,
βάρος,1,,,1,
κέλευσμα,1,,,1,
ἀρχάγγελος,1,,,1,
βεβαίωσις,1,1,,,
μηλωτή,1,,,1,
φόνος,1,,,1,
μισθαποδοσία,1,1,,,
σκηνή,1,,,1,
κληρονομία,1,1,,,
παροξυσμός,1,1,,,
πληροφορία,1,,,1,
κεφαλίς,1,,,1,
ἀθέτησις,1,1,,,
ἀκροθίνιον,1,,1,,
καῦσις,1,1,,,
στάχυς,1,,,1,
ἕξις,1,,,,1
βοήθεια,1,1,,,
κατάπαυσις,1,1,,,
δοκιμασία,1,,,1,
προαύλιον,1,1,,,
ἐνταφιασμός,1,1,,,
ῥίζα,1,,1,,
Βηθσαϊδάν,1,1,,,
ζώνη,1,1,,,
Δεκάπολις,1,,,1,
δέησις,1,1,,,
ἱεράτευμα,1,1,,,
πατρίς,1,,,1,
σπορά,1,,1,,
ἀγκάλη,1,1,,,
κατάλυμα,1,,,1,
ὁσιότης,1,,,1,
γῆρας,1,,,1,
φρόνησις,1,,,1,
Ἀβιά,1,,1,,
ἐφημερία,1,,1,,
φλόξ,1,,,1,
ταφή,1,1,,,
κορβανᾶς,1,1,,,
λῃστής,1,1,,,
κόλασις,1,1,,,
ἀγγεῖον,1,,,1,
μύλος,1,,,1,
Νῶε,1,,,1,
σάλπιγξ,1,,,1,
Δανιήλ,1,,,,1
ἁρπαγή,1,,1,,
δηνάριον,1,,1,,
παλιγγενεσία,1,,,1,
ῥαφίς,1,,,,1
τρύπημα,1,,,,1
μήτηρ,1,,1,,
συνοδία,1,,,1,
στιγμή,1,,,1,
Ναζαρά,1,1,,,
χιλιάς,1,,,1,
ἔχθρα,1,,,1,
ἀγωνία,1,,,1,
κραιπάλη,1,,,1,
ἀπορία,1,,,1,
δῶρον,1,1,,,
σουδάριον,1,,,1,
ἄνοιξις,1,,,1,
τρῆμα,1,,,,1
βάσανος,1,,,1,
κοπρία,1,1,,,
ἀπαρτισμός,1,1,,,
Σάρεπτα,1,1,,,
πρωτοκλισία,1,1,,,
κρύπτη,1,1,,,
δάκτυλος,1,,,1,
κοίτη,1,1,,,
πανδοχεῖον,1,1,,,
ἱματισμός,1,,,1,
περίσσευμα,1,,1,,
κέραμος,1,,,,1
ἄγρα,1,1,,,
βάθος,1,1,,,
ἅλυσις,1,,,1,
ἔδαφος,1,1,,,
ἑτοιμασία,1,,,1,
Θάλασσα,1,,,1,
Χαλδαῖος,1,,1,,
Μεσοποταμία,1,,,1,
ξύλον,1,1,,,
ἀσφάλεια,1,,,1,
ἴασις,1,1,,,
Ἀβραάμ,1,,,,1
Ἰωήλ,1,,,,1
μισθός,1,,1,,
τεκμήριον,1,,,1,
Νάρκισσος,1,,1,,
Ἀριστόβουλος,1,,1,,
πλήρωμα,1,,,1,
ἔλεος,1,,,1,
πρόσκομμα,1,,,,1
βρῶμα,1,,,,1
διαλογισμός,1,1,,,
διάκρισις,1,1,,,
ὕπνος,1,,1,,
ἱλαρότης,1,,,1,
σπουδή,1,,,1,
παράκλησις,1,,,1,
κατάσχεσις,1,1,,,
Σινᾶ,1,,,1,
ἀνταπόδομα,1,1,,,
Βαβυλών,1,,,1,
Βιθυνία,1,1,,,
μαθητής,1,1,,,
Ἀττάλεια,1,1,,,
Παμφυλία,1,1,,,
διαφθορά,1,1,,,
Χανάαν,1,,,1,
βραχίων,1,,,1,
Σαλαμίς,1,,,1,
Σελεύκεια,1,1,,,
οἴκημα,1,,,1,
στρατιώτης,1,,,1,
Φοινίκη,1,1,,,
πυλών,1,1,,,
σπεῖρα,1,,1,,
σπυρίς,1,,,1,
Ἄζωτος,1,1,,,
ταπείνωσις,1,,,1,
σφαγή,1,,,1,
Γάζα,1,1,,,
χρῆμα,1,,,,1
διαταγή,1,1,,,
καλλιέλαιος,1,1,,,
σκάνδαλον,1,1,,,
εὐωδία,1,1,,,
παράβασις,1,,,1,
καταστολή,1,,,1,
ὑπεροχή,1,,,1,
βασιλεύς,1,1,,,
ματαιολογία,1,1,,,
πάροδος,1,,,1,
ῥιπή,1,,,1,
Ἀδάμ,1,,,1,
χεῖλος,1,,,1,
αἴνιγμα,1,,,1,
ἀδικία,1,,,1,
ὑπερβολή,1,1,,,
ποτήριον,1,,1,,
μάκελλον,1,,,1,
στάδιον,1,,,1,
εἰδωλεῖον,1,,,1,
οἰκονόμος,1,,,1,
μυστήριον,1,,,1,
ἀπόδειξις,1,,,1,
τρόμος,1,,,1,
κοινωνία,1,1,,,
χάρισμα,1,,,1,
πλέγμα,1,,,1,
τεκνογονία,1,,,,1
θήρα,1,1,,,
ὀνειδισμός,1,1,,,
παγίς,1,1,,,
Ὡσηέ,1,,,1,
ἀνομία,1,1,,,
καινότης,1,,,1,
βάπτισμα,1,,,,1
δικαίωσις,1,1,,,
ἔνδειξις,1,1,,,
τρόπος,1,,,1,
νοῦς,1,1,,,
φύσις,1,,1,,
ψεῦδος,1,,,1,
ἁγιωσύνη,1,,,1,
Ἑβραῖος,1,,1,,
καύχημα,1,1,,,
ἀπολογία,1,1,,,
προκοπή,1,1,,,
σπλάγχνον,1,,,1,
ἀπόλαυσις,1,1,,,
μάρτυς,1,,,,1
εὐσέβεια,1,,,1,
ὑπόκρισις,1,,,1,
Σαμοθρᾴκη,1,1,,,
Πόλις,1,1,,,
ἀπελεγμός,1,1,,,
Ἱεροσολυμίτης,1,,1,,
Τιβεριάς,1,,1,,
ὀψάριον,1,,1,,
κολυμβήθρα,1,1,,,
ὁδοιπορία,1,,1,,
Ἰορδάνης,1,1,,,
Αἰνών,1,,,1,
σχοινίον,1,,1,,
Ναζαρέτ,1,,1,,
μαρτυρία,1,1,,,
Νικόπολις,1,1,,,
κακία,1,,,1,
κατάστημα,1,,,1,
ἀσωτία,1,,,1,
κατηγορία,1,,,1,
κήρυγμα,1,,,1,
χάρτης,1,,,,1
λέων,1,,1,,
Δαλματία,1,1,,,
Γαλατία,1,1,,,
παιδεία,1,1,,,
ἐμπαιγμονή,1,,,1,
πλοιάριον,1,1,,,
ἱερόν,1,1,,,
Ἑλλάς,1,1,,,
μοιχεία,1,,,1,
ὀσμή,1,1,,,
ματαιότης,1,,,1,
πεποίθησις,1,,,1,
κατοικητήριον,1,1,,,
δόγμα,1,,,1,
υἱοθεσία,1,1,,,
κατήφεια,1,1,,,
πένθος,1,1,,,
κριτήριον,1,1,,,
προσωπολημψία,1,,,1,
διασπορά,1,,,1,
σταυρός,1,,,,1
θήκη,1,1,,,
καταβολή,1,1,,,
ἄμπελος,1,,,1,
νιπτήρ,1,1,,,
βλασφημία,1,1,,,
πρόβατον,1,,,1,
πτύσμα,1,,1,,
γενετή,1,,1,,
νόμος,1,,,1,
βόρβορος,1,1,,,
κυλισμός,1,1,,,
ἅλωσις,1,1,,,
μιασμός,1,,,1,
Κρήτη,1,,,1,
Σύρτις,1,1,,,
Φοῖνιξ,1,1,,,
Μύρα,1,1,,,
μανία,1,1,,,
ἐκτένεια,1,,,1,
ἀκροατήριον,1,1,,,
Καῖσαρ,1,1,,,
οἰκουμένη,1,1,,,
ἐπαρχεία,1,,1,,
Ἀντιπατρίς,1,1,,,
θόρυβος,1,,,,1
Πτολεμαΐς,1,1,,,
Πάταρα,1,1,,,
Ῥόδος,1,1,,,
Κώς,1,1,,,
δάκρυον,1,,,,1
Σάμος,1,1,,,
Μιτυλήνη,1,1,,,
Ἆσσος,1,1,,,
θυρίς,1,,,,1
Ἀδρίας,1,,,1,
πρῷρα,1,,1,,
Συράκουσαι,1,1,,,
ὀφθαλμοδουλία,1,,,1,
ἐγκράτεια,1,,,1,
ἀρετή,1,,,1,
δεσμός,1,,,1,
ἀφορμή,1,1,,,
ἐλευθερία,1,,,,1
δουλεία,1,1,,,
μεσίτης,1,,,1,
ἀποστολή,1,1,,,
Ἱεράπολις,1,,,1,
ἐθελοθρησκία,1,,,1,
Ῥήγιον,1,1,,,
ταπεινοφροσύνη,1,,,1,
πόσις,1,,,1,
πιθανολογία,1,,,1,
ἀρεσκεία,1,1,,,
Κολοσσαί,1,,,1,
μέλαν,1,,,,1
μίσθωμα,1,,,1,
ξενία,1,1,,,
Ποτίολοι,1,1,,,
δέρμα,1,,,1,
